id;country;desease_id;case_info;year;week;week_ending
1;United States of America;transmit Cuba input;Frozen Decentralized Units;best-of-breed;withdrawal redundant;Investment
2;Belgium;Islands Arab International;Sleek Electronics;Mouse;Pizza calculating;ROI
3;New Zealand;metrics Team-oriented 1080p;Architect payment;synergies calculating;PNG Keyboard;Granite
4;Falkland Islands (Malvinas);deposit Towels;Berkshire Loop implementation;Mouse Principal;payment Networked;Manager Skyway
5;Palestinian Territory;engineer Reverse-engineered Developer;Triple-buffered;transmit Steel Future;Synergized ADP;SQL
6;Niue;Bedfordshire silver Car;Chicken Summit;Gorgeous Lira parallelism;orchestrate transparent;Frozen Bedfordshire
7;Tuvalu;dot-com;red strategic program;methodical Kwanza;paradigms Rubber Functionality;Cheese zero
8;Gibraltar;monitor generating maximize;Frozen;Rubber Compatible;Granite synthesizing Frozen;e-business override
9;Montserrat;Applications Key Cambridgeshire;radical Radial;Dirham feed;hacking Checking;connecting fuchsia
10;Georgia;Rubber Honduras;Dynamic;Loan Villages Leone;IB;web-enabled policy
