id;org_unit_name;dhis_org_unit_name;dhis_org_unit_code
1;Chief;quantifying encryption Moldovan;Director
2;Haven De-engineered Grass-roots;PNG;Central
3;ivory;payment Direct Infrastructure;paradigms deliver B2B
4;microchip Corporate;benchmark Strategist override;technologies Programmable Team-oriented
5;application Health purple;partnerships Interactions navigate;web-readiness global
6;Direct;Rustic calculating deposit;deposit Optimized Iranian
7;structure target Ramp;Future;violet
8;Central convergence;pixel Lights Functionality;Honduras payment Portugal
9;transmitting;protocol Aruban;fuchsia China
10;Liaison UIC-Franc;Plastic New;Associate
